127.0.0.1 - - [01/Aug/2023:01:37:45 +0900] "GET / HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [01/Aug/2023:01:38:38 +0900] "GET /user/join HTTP/1.1" 200 5670
0:0:0:0:0:0:0:1 - - [01/Aug/2023:01:38:38 +0900] "GET /resources/images/logo/logo.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Aug/2023:01:38:59 +0900] "GET /user/join HTTP/1.1" 200 5670
0:0:0:0:0:0:0:1 - - [01/Aug/2023:01:38:59 +0900] "GET /resources/images/logo/logo.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Aug/2023:01:40:40 +0900] "GET /user/join HTTP/1.1" 200 5670
0:0:0:0:0:0:0:1 - - [01/Aug/2023:01:40:40 +0900] "GET /resources/css/join.css HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [01/Aug/2023:01:40:40 +0900] "GET /resources/css/reset.css HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [01/Aug/2023:01:40:40 +0900] "GET /resources/images/logo/logo.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Aug/2023:01:40:40 +0900] "GET /resources/images/icon/user.png HTTP/1.1" 200 19415
0:0:0:0:0:0:0:1 - - [01/Aug/2023:01:40:40 +0900] "GET /resources/images/icon/password.png HTTP/1.1" 200 17574
0:0:0:0:0:0:0:1 - - [01/Aug/2023:01:40:40 +0900] "GET /resources/images/icon/email.png HTTP/1.1" 200 15396
0:0:0:0:0:0:0:1 - - [01/Aug/2023:01:40:40 +0900] "GET /resources/images/icon/calendars.png HTTP/1.1" 200 18695
0:0:0:0:0:0:0:1 - - [01/Aug/2023:01:40:40 +0900] "GET /resources/images/icon/mobile-phone.png HTTP/1.1" 200 4907
0:0:0:0:0:0:0:1 - - [01/Aug/2023:01:40:40 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Aug/2023:01:42:15 +0900] "GET /user/join HTTP/1.1" 200 5670
0:0:0:0:0:0:0:1 - - [01/Aug/2023:01:42:15 +0900] "GET /resources/css/reset.css HTTP/1.1" 200 361
